LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
USA,CCI,AMPLITUD,LTRENDIDX,M,2009-01,96.72424
USA,CCI,AMPLITUD,LTRENDIDX,M,2009-02,96.69838
USA,CCI,AMPLITUD,LTRENDIDX,M,2009-03,96.8989
USA,CCI,AMPLITUD,LTRENDIDX,M,2009-04,97.34391
USA,CCI,AMPLITUD,LTRENDIDX,M,2009-05,97.72681
USA,CCI,AMPLITUD,LTRENDIDX,M,2009-06,97.88534
USA,CCI,AMPLITUD,LTRENDIDX,M,2009-07,97.84044
USA,CCI,AMPLITUD,LTRENDIDX,M,2009-08,97.88383
USA,CCI,AMPLITUD,LTRENDIDX,M,2009-09,98.06042
USA,CCI,AMPLITUD,LTRENDIDX,M,2009-10,98.08986
USA,CCI,AMPLITUD,LTRENDIDX,M,2009-11,98.1038
USA,CCI,AMPLITUD,LTRENDIDX,M,2009-12,98.2767
USA,CCI,AMPLITUD,LTRENDIDX,M,2010-01,98.43698
USA,CCI,AMPLITUD,LTRENDIDX,M,2010-02,98.49162
USA,CCI,AMPLITUD,LTRENDIDX,M,2010-03,98.48854
USA,CCI,AMPLITUD,LTRENDIDX,M,2010-04,98.46829
USA,CCI,AMPLITUD,LTRENDIDX,M,2010-05,98.46703
USA,CCI,AMPLITUD,LTRENDIDX,M,2010-06,98.3728
USA,CCI,AMPLITUD,LTRENDIDX,M,2010-07,98.09077
USA,CCI,AMPLITUD,LTRENDIDX,M,2010-08,97.91876
USA,CCI,AMPLITUD,LTRENDIDX,M,2010-09,97.86839
USA,CCI,AMPLITUD,LTRENDIDX,M,2010-10,97.96599
USA,CCI,AMPLITUD,LTRENDIDX,M,2010-11,98.22092
USA,CCI,AMPLITUD,LTRENDIDX,M,2010-12,98.46945
USA,CCI,AMPLITUD,LTRENDIDX,M,2011-01,98.57672
USA,CCI,AMPLITUD,LTRENDIDX,M,2011-02,98.52812
USA,CCI,AMPLITUD,LTRENDIDX,M,2011-03,98.28679
USA,CCI,AMPLITUD,LTRENDIDX,M,2011-04,98.22892
USA,CCI,AMPLITUD,LTRENDIDX,M,2011-05,98.21337
USA,CCI,AMPLITUD,LTRENDIDX,M,2011-06,97.90897
USA,CCI,AMPLITUD,LTRENDIDX,M,2011-07,97.33743
USA,CCI,AMPLITUD,LTRENDIDX,M,2011-08,96.84958
USA,CCI,AMPLITUD,LTRENDIDX,M,2011-09,96.78303
USA,CCI,AMPLITUD,LTRENDIDX,M,2011-10,97.01254
USA,CCI,AMPLITUD,LTRENDIDX,M,2011-11,97.45016
USA,CCI,AMPLITUD,LTRENDIDX,M,2011-12,97.99148
USA,CCI,AMPLITUD,LTRENDIDX,M,2012-01,98.45296
USA,CCI,AMPLITUD,LTRENDIDX,M,2012-02,98.71024
USA,CCI,AMPLITUD,LTRENDIDX,M,2012-03,98.83423
USA,CCI,AMPLITUD,LTRENDIDX,M,2012-04,98.86897
USA,CCI,AMPLITUD,LTRENDIDX,M,2012-05,98.81316
USA,CCI,AMPLITUD,LTRENDIDX,M,2012-06,98.60879
USA,CCI,AMPLITUD,LTRENDIDX,M,2012-07,98.53677
USA,CCI,AMPLITUD,LTRENDIDX,M,2012-08,98.70658
USA,CCI,AMPLITUD,LTRENDIDX,M,2012-09,99.02276
USA,CCI,AMPLITUD,LTRENDIDX,M,2012-10,99.2495
USA,CCI,AMPLITUD,LTRENDIDX,M,2012-11,99.16314
USA,CCI,AMPLITUD,LTRENDIDX,M,2012-12,98.82931
USA,CCI,AMPLITUD,LTRENDIDX,M,2013-01,98.70095
USA,CCI,AMPLITUD,LTRENDIDX,M,2013-02,98.80391
USA,CCI,AMPLITUD,LTRENDIDX,M,2013-03,98.97067
USA,CCI,AMPLITUD,LTRENDIDX,M,2013-04,99.18275
USA,CCI,AMPLITUD,LTRENDIDX,M,2013-05,99.52102
USA,CCI,AMPLITUD,LTRENDIDX,M,2013-06,99.69591
USA,CCI,AMPLITUD,LTRENDIDX,M,2013-07,99.65822
USA,CCI,AMPLITUD,LTRENDIDX,M,2013-08,99.37738
USA,CCI,AMPLITUD,LTRENDIDX,M,2013-09,98.99632
USA,CCI,AMPLITUD,LTRENDIDX,M,2013-10,98.76073
USA,CCI,AMPLITUD,LTRENDIDX,M,2013-11,98.86121
USA,CCI,AMPLITUD,LTRENDIDX,M,2013-12,99.16493
USA,CCI,AMPLITUD,LTRENDIDX,M,2014-01,99.33782
USA,CCI,AMPLITUD,LTRENDIDX,M,2014-02,99.40792
USA,CCI,AMPLITUD,LTRENDIDX,M,2014-03,99.44018
USA,CCI,AMPLITUD,LTRENDIDX,M,2014-04,99.51322
USA,CCI,AMPLITUD,LTRENDIDX,M,2014-05,99.4996
USA,CCI,AMPLITUD,LTRENDIDX,M,2014-06,99.47318
USA,CCI,AMPLITUD,LTRENDIDX,M,2014-07,99.46499
USA,CCI,AMPLITUD,LTRENDIDX,M,2014-08,99.55992
USA,CCI,AMPLITUD,LTRENDIDX,M,2014-09,99.76434
USA,CCI,AMPLITUD,LTRENDIDX,M,2014-10,100.0517
USA,CCI,AMPLITUD,LTRENDIDX,M,2014-11,100.4044
USA,CCI,AMPLITUD,LTRENDIDX,M,2014-12,100.7953
USA,CCI,AMPLITUD,LTRENDIDX,M,2015-01,101.0588
USA,CCI,AMPLITUD,LTRENDIDX,M,2015-02,101.0611
USA,CCI,AMPLITUD,LTRENDIDX,M,2015-03,100.9648
USA,CCI,AMPLITUD,LTRENDIDX,M,2015-04,100.9103
USA,CCI,AMPLITUD,LTRENDIDX,M,2015-05,100.8301
USA,CCI,AMPLITUD,LTRENDIDX,M,2015-06,100.8442
USA,CCI,AMPLITUD,LTRENDIDX,M,2015-07,100.7298
USA,CCI,AMPLITUD,LTRENDIDX,M,2015-08,100.541
USA,CCI,AMPLITUD,LTRENDIDX,M,2015-09,100.3708
USA,CCI,AMPLITUD,LTRENDIDX,M,2015-10,100.3999
USA,CCI,AMPLITUD,LTRENDIDX,M,2015-11,100.5161
USA,CCI,AMPLITUD,LTRENDIDX,M,2015-12,100.6128
USA,CCI,AMPLITUD,LTRENDIDX,M,2016-01,100.6259
USA,CCI,AMPLITUD,LTRENDIDX,M,2016-02,100.5886
USA,CCI,AMPLITUD,LTRENDIDX,M,2016-03,100.5489
USA,CCI,AMPLITUD,LTRENDIDX,M,2016-04,100.5709
USA,CCI,AMPLITUD,LTRENDIDX,M,2016-05,100.6929
USA,CCI,AMPLITUD,LTRENDIDX,M,2016-06,100.6709
USA,CCI,AMPLITUD,LTRENDIDX,M,2016-07,100.5247
USA,CCI,AMPLITUD,LTRENDIDX,M,2016-08,100.4191
USA,CCI,AMPLITUD,LTRENDIDX,M,2016-09,100.4
USA,CCI,AMPLITUD,LTRENDIDX,M,2016-10,100.4767
USA,CCI,AMPLITUD,LTRENDIDX,M,2016-11,100.8048
USA,CCI,AMPLITUD,LTRENDIDX,M,2016-12,101.1411
USA,CCI,AMPLITUD,LTRENDIDX,M,2017-01,101.2888
USA,CCI,AMPLITUD,LTRENDIDX,M,2017-02,101.2766
USA,CCI,AMPLITUD,LTRENDIDX,M,2017-03,101.2461
USA,CCI,AMPLITUD,LTRENDIDX,M,2017-04,101.2066
USA,CCI,AMPLITUD,LTRENDIDX,M,2017-05,101.1356
USA,CCI,AMPLITUD,LTRENDIDX,M,2017-06,101.0303
USA,CCI,AMPLITUD,LTRENDIDX,M,2017-07,100.9897
USA,CCI,AMPLITUD,LTRENDIDX,M,2017-08,101.0863
USA,CCI,AMPLITUD,LTRENDIDX,M,2017-09,101.2071
USA,CCI,AMPLITUD,LTRENDIDX,M,2017-10,101.3554
USA,CCI,AMPLITUD,LTRENDIDX,M,2017-11,101.3308
USA,CCI,AMPLITUD,LTRENDIDX,M,2017-12,101.2372
USA,CCI,AMPLITUD,LTRENDIDX,M,2018-01,101.2492
USA,CCI,AMPLITUD,LTRENDIDX,M,2018-02,101.4019